config_name,knob,value,query,min_ms,avg_ms,status
storage_gpu,storage_device,gpu,q1,4,5.2,ok
storage_gpu,storage_device,gpu,q6,0,0.1,ok
storage_gpu,storage_device,gpu,q3,2,2.7,ok
storage_gpu,storage_device,gpu,q9,3,4.6,ok
storage_cpu,storage_device,cpu,q1,28,29.5,ok
storage_cpu,storage_device,cpu,q6,15,17.5,ok
storage_cpu,storage_device,cpu,q3,20,24.6,ok
storage_cpu,storage_device,cpu,q9,32,40.3,ok
storage_cpu-pinned,storage_device,cpu-pinned,q1,9,16.1,ok
storage_cpu-pinned,storage_device,cpu-pinned,q6,3,5.3,ok
storage_cpu-pinned,storage_device,cpu-pinned,q3,6,11.0,ok
storage_cpu-pinned,storage_device,cpu-pinned,q9,9,17.5,ok
fusion_true,operator_fusion,true,q1,4,11.3,ok
fusion_true,operator_fusion,true,q6,1,1.2,ok
fusion_true,operator_fusion,true,q3,2,6.0,ok
fusion_true,operator_fusion,true,q9,3,11.4,ok
fusion_false,operator_fusion,false,q1,4,10.2,ok
fusion_false,operator_fusion,false,q6,0,1.2,ok
fusion_false,operator_fusion,false,q3,2,7.4,ok
fusion_false,operator_fusion,false,q9,3,10.4,ok
pinned_pool_1gb,pinned_pool_size_gb,1,q1,4,11.8,ok
pinned_pool_1gb,pinned_pool_size_gb,1,q6,0,2.6,ok
pinned_pool_1gb,pinned_pool_size_gb,1,q3,2,7.1,ok
pinned_pool_1gb,pinned_pool_size_gb,1,q9,3,10.5,ok
pinned_pool_4gb,pinned_pool_size_gb,4,q1,4,11.3,ok
pinned_pool_4gb,pinned_pool_size_gb,4,q6,0,2.1,ok
pinned_pool_4gb,pinned_pool_size_gb,4,q3,2,7.4,ok
pinned_pool_4gb,pinned_pool_size_gb,4,q9,3,10.1,ok
pinned_pool_8gb,pinned_pool_size_gb,8,q1,4,10.2,ok
pinned_pool_8gb,pinned_pool_size_gb,8,q6,0,1.3,ok
pinned_pool_8gb,pinned_pool_size_gb,8,q3,2,6.3,ok
pinned_pool_8gb,pinned_pool_size_gb,8,q9,3,11.5,ok
pinned_pool_12gb,pinned_pool_size_gb,12,q1,4,11.5,ok
pinned_pool_12gb,pinned_pool_size_gb,12,q6,0,2.6,ok
pinned_pool_12gb,pinned_pool_size_gb,12,q3,2,7.6,ok
pinned_pool_12gb,pinned_pool_size_gb,12,q9,3,9.9,ok
max_conn_1,CUDA_DEVICE_MAX_CONNECTIONS,1,q1,4,9.9,ok
max_conn_1,CUDA_DEVICE_MAX_CONNECTIONS,1,q6,0,1.1,ok
max_conn_1,CUDA_DEVICE_MAX_CONNECTIONS,1,q3,2,6.6,ok
max_conn_1,CUDA_DEVICE_MAX_CONNECTIONS,1,q9,3,11.0,ok
max_conn_8,CUDA_DEVICE_MAX_CONNECTIONS,8,q1,4,11.5,ok
max_conn_8,CUDA_DEVICE_MAX_CONNECTIONS,8,q6,0,1.1,ok
max_conn_8,CUDA_DEVICE_MAX_CONNECTIONS,8,q3,2,6.1,ok
max_conn_8,CUDA_DEVICE_MAX_CONNECTIONS,8,q9,3,11.8,ok
max_conn_32,CUDA_DEVICE_MAX_CONNECTIONS,32,q1,4,10.9,ok
max_conn_32,CUDA_DEVICE_MAX_CONNECTIONS,32,q6,0,1.1,ok
max_conn_32,CUDA_DEVICE_MAX_CONNECTIONS,32,q3,2,6.4,ok
max_conn_32,CUDA_DEVICE_MAX_CONNECTIONS,32,q9,3,11.8,ok
auto_boost_0,CUDA_AUTO_BOOST,0,q1,4,10.2,ok
auto_boost_0,CUDA_AUTO_BOOST,0,q6,0,1.0,ok
auto_boost_0,CUDA_AUTO_BOOST,0,q3,2,6.5,ok
auto_boost_0,CUDA_AUTO_BOOST,0,q9,3,11.8,ok
auto_boost_1,CUDA_AUTO_BOOST,1,q1,4,11.5,ok
auto_boost_1,CUDA_AUTO_BOOST,1,q6,0,1.4,ok
auto_boost_1,CUDA_AUTO_BOOST,1,q3,2,6.5,ok
auto_boost_1,CUDA_AUTO_BOOST,1,q9,3,11.8,ok
