config,engine,cpu_mhz,gpu_clk_mhz,n_reps,status,min_s,avg_s,elapsed_s,avg_gpu_w,max_gpu_w,avg_util,avg_clk,avg_cpu_w,avg_dram_w,gpu_energy_j,cpu_energy_j,max_mem_mb
baseline,sirius_gpu,4400,auto,30,OK,0.0390,0.0410,5.9,148.0,191.5,83,2722,115.0,2.0,5.77,4.48,15823
baseline,maximus_gpu,4400,auto,30,OK,0.1410,0.1430,49.6,52.7,58.4,3,2910,111.5,2.6,7.43,15.73,6557
baseline,maximus_cpu,4400,auto,10,OK,0.0720,0.0747,25.4,50.3,50.7,2,2730,108.5,1.9,3.62,7.81,3437
cpu_low,sirius_gpu,800,auto,30,OK,0.0410,0.0417,6.2,154.0,191.2,83,2789,116.9,2.1,6.31,4.79,15823
cpu_low,maximus_gpu,800,auto,30,OK,0.1410,0.1432,48.3,53.8,57.9,5,2917,109.5,2.8,7.58,15.44,6557
cpu_low,maximus_cpu,800,auto,10,OK,0.0720,0.0766,25.1,51.3,54.3,2,2917,107.5,1.8,3.69,7.74,3395
gpu_low,sirius_gpu,4400,180,30,OK,0.7240,0.7260,27.7,32.4,33.4,98,180,108.2,1.8,23.42,78.33,15823
gpu_low,maximus_gpu,4400,180,30,OK,0.6710,0.6722,74.9,20.2,27.9,32,180,105.9,2.3,13.55,71.03,6557
gpu_low,maximus_cpu,4400,180,10,OK,0.0730,0.0754,25.1,17.0,17.6,100,180,108.1,1.9,1.24,7.89,325
both_low,sirius_gpu,800,180,30,OK,0.7240,0.7257,27.4,32.4,33.4,96,180,107.3,1.8,23.46,77.67,15823
both_low,maximus_gpu,800,180,30,OK,0.6710,0.6714,73.8,19.2,27.1,26,180,108.2,2.3,12.87,72.57,6557
both_low,maximus_cpu,800,180,10,OK,0.0730,0.0782,25.1,15.9,16.4,5,180,104.7,1.8,1.16,7.64,3437
